Dataset,Crossover Rate,Crossover,Mutation,Population Size,Generations,Mutation Rate,Best Distance,Execution Time (s)
berlin52.txt,0.5,ordered_crossover,scramble_mutation,500,149,0.01,11133.25,2.91
berlin52.txt,1.0,ordered_crossover,scramble_mutation,500,185,0.01,9086.63,5.07
berlin52.txt,0.1,ordered_crossover,scramble_mutation,500,367,0.1,15311.23,5.02
berlin52.txt,0.5,ordered_crossover,scramble_mutation,500,300,0.1,10122.03,5.88
berlin52.txt,1.0,ordered_crossover,scramble_mutation,500,225,0.1,8682.55,5.7
berlin52.txt,0.1,ordered_crossover,scramble_mutation,500,475,0.01,15316.89,6.08
berlin52.txt,0.5,ordered_crossover,scramble_mutation,500,373,0.01,9399.6,6.7
berlin52.txt,1.0,ordered_crossover,scramble_mutation,500,320,0.01,9382.08,8.06
berlin52.txt,0.1,ordered_crossover,scramble_mutation,500,578,0.1,13388.54,7.24
berlin52.txt,0.5,ordered_crossover,scramble_mutation,500,272,0.1,10891.69,4.92
berlin52.txt,1.0,ordered_crossover,scramble_mutation,500,345,0.1,8804.61,8.68
berlin52.txt,0.1,ordered_crossover,scramble_mutation,500,587,0.01,14367.32,7.01
berlin52.txt,0.5,ordered_crossover,scramble_mutation,500,1069,0.01,10240.04,18.87
berlin52.txt,1.0,ordered_crossover,scramble_mutation,500,329,0.01,9214.74,8.67
berlin52.txt,0.1,ordered_crossover,scramble_mutation,500,435,0.1,15983.33,5.31
berlin52.txt,0.5,ordered_crossover,scramble_mutation,500,394,0.1,9334.41,9.09
berlin52.txt,1.0,ordered_crossover,scramble_mutation,500,699,0.1,8713.83,21.5
berlin52.txt,0.1,pmx_crossover,swap_mutation,100,58,0.01,21322.38,0.22
berlin52.txt,0.5,pmx_crossover,swap_mutation,100,36,0.01,18345.28,0.21
berlin52.txt,1.0,pmx_crossover,swap_mutation,100,48,0.01,15451.97,0.32
berlin52.txt,0.1,pmx_crossover,swap_mutation,100,21,0.1,23958.83,0.07
berlin52.txt,0.5,pmx_crossover,swap_mutation,100,99,0.1,15058.71,0.38
berlin52.txt,1.0,pmx_crossover,swap_mutation,100,99,0.1,13437.2,0.38
